patentNumber,title,USPC #,company,companyState,patentIssueDate,applicationFilingDate
10169765,['Method and apparatus for generating advertisement information for performing a marketing campaign'],705,N/A,N/A,2019-01-01,2004-10-01
10171965,['Micro-payment scheme encouraging collaboration in multi-hop cellular networks'],705,N/A,N/A,2019-01-01,2004-11-24
10169475,['Pattern for navigating content in a portal'],715,N/A,N/A,2019-01-01,2005-11-17
10166742,['METAL-POLYAMIDE/POLYETHYLENE-METAL LAMINATE'],428,N/A,N/A,2019-01-01,2005-12-23
10171513,['Methods and Apparatus for Controlling Call Admission to a Network Based on Network Resources'],370,N/A,N/A,2019-01-01,2006-06-28
10168179,['Vehicle display system and method with enhanced vision system and synthetic vision system image display'],345,N/A,N/A,2019-01-01,2007-01-26
10169781,['Method and system for generating information about portable device advertising'],705,N/A,N/A,2019-01-01,2007-05-22
10166271,['METHODS FOR PROMOTING HAIR GROWTH'],514,N/A,N/A,2019-01-01,2007-06-20
10169739,['SYSTEMS AND METHODS FOR REDUCING RECIDIVISM AMONG FORMER INMATES'],705,N/A,N/A,2019-01-01,2007-08-21
10168801,['ELECTRONIC PEN AND ELECTRONIC PEN SYSTEM'],320,N/A,N/A,2019-01-01,2007-08-24
10165904,['HIDDEN SHOWER SURROUND STORAGE'],004,N/A,N/A,2019-01-01,2007-10-23
10169533,['Virtual Worklist for Analyzing Medical Images'],705,N/A,N/A,2019-01-01,2007-11-23
10170013,['ASSESSMENT INSTANCES IN COMPUTERIZED ASSESSMENTS'],434,N/A,N/A,2019-01-01,2008-01-11
10171998,"['USER PROFILE, POLICY, AND PMIP KEY DISTRIBUTION IN A WIRELESS COMMUNICATION NETWORK']",726,N/A,N/A,2019-01-01,2008-03-14
10169598,['SYSTEMS AND METHODS FOR SENDING AND RECEIVING ENCRYPTED SUBMESSAGES'],380,N/A,N/A,2019-01-01,2008-04-10
10169546,['Generating Document Processing Workflows Configured to Route Documents Based on Document Conceptual Understanding'],705,N/A,N/A,2019-01-01,2008-05-28
10169737,['CONVERTING ASSETS FOR REUSE DURING MANUFACTURING'],705,N/A,N/A,2019-01-01,2008-05-30
10169199,['AUTOMATIC MODEL-SPECIFIC DEBUGGER EXTENSIONS'],717,N/A,N/A,2019-01-01,2008-06-10
10166957,['HYDRAULIC BRAKING SYSTEM FOR A LAND CRAFT'],303,N/A,N/A,2019-01-01,2008-07-22
10166147,['Absorbent Article for Application to Human or Animal Skin Surfaces'],602,N/A,N/A,2019-01-01,2008-07-31
10166470,['METHOD FOR PROVIDING A VIRTUAL WORLD LAYER'],345,N/A,N/A,2019-01-01,2008-08-01
10172120,['Communication system'],370,N/A,N/A,2019-01-01,2008-12-19
10169692,"['CREDIT, SECURITY, DEBIT CARDS AND THE LIKE WITH BUTTONS']",235,N/A,N/A,2019-01-01,2008-12-19
